demand_id,x,y,population,central
445,292716.7174,5631897.702800001,3.022582,0
446,292866.7174,5631897.702800001,5.311259,0
447,292916.7174,5628797.702800001,1.429628,0
448,292816.7174,5631897.702800001,7.06966,0
449,293066.7174,5628797.702800001,1.688404,0
450,293016.7174,5628797.702800001,1.200548,0
451,292916.7174,5631897.702800001,10.05194,0
452,292366.7174,5628797.702800001,2.723505,0
453,293066.7174,5631897.702800001,17.802476,0
454,292316.7174,5628797.702800001,5.964561,0
455,291366.7174,5624847.702800001,2.838045,0
456,293016.7174,5631897.702800001,3.580434,0
457,292466.7174,5628797.702800001,21.149588,0
458,292366.7174,5631897.702800001,14.260222,0
459,292416.7174,5628797.702800001,5.671848,0
460,291466.7174,5624847.702800001,2.326858,0
461,292566.7174,5628797.702800001,9.886494,0
462,291416.7174,5624847.702800001,2.833803,0
463,292466.7174,5631897.702800001,4.373729,0
464,292516.7174,5628797.702800001,6.628469,0
465,291566.7174,5624847.702800001,12.463642,0
466,292666.7174,5628797.702800001,6.303939,0
467,291516.7174,5624847.702800001,9.99467,0
468,292566.7174,5631897.702800001,3.124395,0
469,292616.7174,5628797.702800001,9.447424,0
470,291666.7174,5624847.702800001,5.37065,0
471,292516.7174,5631897.702800001,0.7636,0
472,291616.7174,5624847.702800001,15.528646,0
473,292666.7174,5631897.702800001,1.018133,0
474,291916.7174,5628797.702800001,2.689567,0
475,292616.7174,5631897.702800001,3.919811,0
476,292166.7174,5631897.702800001,13.74055,0
477,292116.7174,5631897.702800001,1.469929,0
478,292266.7174,5631897.702800001,16.273156,0
479,291516.7174,5628797.702800001,20.880207,0
480,292216.7174,5631897.702800001,13.937814,0
481,291616.7174,5628797.702800001,32.637519,0
482,295116.7174,5624897.702800001,6.870275,0
483,295066.7174,5624897.702800001,1.915362,0
484,291866.7174,5628797.702800001,4.29949,0
485,295166.7174,5624897.702800001,7.769626,0
486,291816.7174,5628797.702800001,0.634212,0
487,291166.7174,5628797.702800001,1.607801,0
488,291116.7174,5628797.702800001,1.467808,0
489,291266.7174,5628797.702800001,1.715978,0
490,293066.7174,5631797.702800001,2.522,0
491,291216.7174,5628797.702800001,3.376807,0
492,293016.7174,5631797.702800001,10.41465,0
493,291366.7174,5628797.702800001,3.376807,0
494,293166.7174,5631797.702800001,7.451459,0
495,291316.7174,5628797.702800001,11.199461,0
496,291466.7174,5628797.702800001,7.336919,0
497,293266.7174,5631797.702800001,17.344316,0
498,291416.7174,5628797.702800001,8.291419,0
499,293216.7174,5631797.702800001,44.611185,0
500,293366.7174,5631797.702800001,3.204997,0
501,293316.7174,5631797.702800001,4.670684,0
502,290866.7174,5628797.702800001,4.58584,0
503,292666.7174,5631797.702800001,3.896479,0
504,292616.7174,5631797.702800001,2.477456,0
505,290966.7174,5628797.702800001,9.617113,0
506,292766.7174,5631797.702800001,2.810471,0
507,290916.7174,5628797.702800001,1.928089,0
508,292716.7174,5631797.702800001,1.713857,0
509,291066.7174,5628797.702800001,2.776533,0
510,292866.7174,5631797.702800001,5.442768,0
511,291016.7174,5628797.702800001,11.952455,0
512,292816.7174,5631797.702800001,1.28115,0
513,291616.7174,5628747.702800001,28.049558,0
514,292966.7174,5631797.702800001,10.785844,0
515,291566.7174,5628747.702800001,26.815072,0
516,292916.7174,5631797.702800001,1.075403,0
517,293766.7174,5624897.702800001,1.22388,0
518,292266.7174,5631797.702800001,0.349983,0
519,291666.7174,5628747.702800001,6.76422,0
520,292216.7174,5631797.702800001,8.917146,0
521,291816.7174,5628747.702800001,1.268424,0
522,292366.7174,5631797.702800001,1.457203,0
523,292316.7174,5631797.702800001,3.890116,0
524,292466.7174,5631797.702800001,1.476293,0
525,291866.7174,5628747.702800001,2.717142,0
526,292416.7174,5631797.702800001,2.583512,0
527,292566.7174,5631797.702800001,2.519879,0
528,291166.7174,5628747.702800001,3.792545,0
529,292516.7174,5631797.702800001,0.415738,0
530,291866.7174,5631797.702800001,1.005406,0
531,291266.7174,5628747.702800001,0.772084,0
532,291416.7174,5628747.702800001,9.907705,0
533,291366.7174,5628747.702800001,7.773868,0
534,291916.7174,5631797.702800001,2.379885,0
535,291516.7174,5628747.702800001,31.288494,0
536,291466.7174,5628747.702800001,4.348276,0
537,292166.7174,5631797.702800001,23.321604,0
538,292116.7174,5631797.702800001,12.514549,0
539,292866.7174,5636647.702800001,11.840036,0
540,290916.7174,5628747.702800001,3.694974,0
541,291016.7174,5628747.702800001,10.980986,0
542,290966.7174,5628747.702800001,2.146563,0
543,295166.7174,5624847.702800001,20.089033,0
544,291116.7174,5628747.702800001,3.972839,0
545,295116.7174,5624847.702800001,1.883546,0
546,291066.7174,5628747.702800001,7.300861,0
547,295216.7174,5624847.702800001,0.914198,0
548,295516.7174,5628797.702800001,49.733666,1
549,295166.7174,5628797.702800001,19.336039,1
550,295266.7174,5628797.702800001,18.723038,1
551,295216.7174,5628797.702800001,57.702676,1
552,295366.7174,5628797.702800001,53.818923,1
553,295316.7174,5628797.702800001,53.422276,1
554,295466.7174,5628797.702800001,37.170331,1
555,295416.7174,5628797.702800001,39.917169,1
556,294766.7174,5628797.702800001,25.934812,1
557,294716.7174,5628797.702800001,89.016623,1
558,293766.7174,5624847.702800001,2.583512,0
559,294866.7174,5628797.702800001,4.16586,1
560,294916.7174,5628797.702800001,12.576061,1
561,294366.7174,5628797.702800001,43.74153,0
562,294316.7174,5628797.702800001,87.881829,0
563,294466.7174,5628797.702800001,68.223382,0
564,294416.7174,5628797.702800001,81.859998,0
565,294566.7174,5628797.702800001,11.82943,1
566,294516.7174,5628797.702800001,16.058923,1
567,294666.7174,5628797.702800001,101.098466,1
568,294616.7174,5628797.702800001,92.478273,1
569,293966.7174,5628797.702800001,76.506316,0
570,293916.7174,5628797.702800001,58.519303,0
571,294066.7174,5628797.702800001,52.798669,0
572,294016.7174,5628797.702800001,53.023508,0
573,294166.7174,5628797.702800001,63.682085,0
574,294116.7174,5628797.702800001,47.020766,0
575,294266.7174,5628797.702800001,69.873605,0
576,294216.7174,5628797.702800001,57.401478,0
577,292316.7174,5628847.702800001,5.368529,0
578,292266.7174,5628847.702800001,3.941022,0
579,292416.7174,5628847.702800001,2.782896,0
580,292366.7174,5628847.702800001,4.388577,0
581,292516.7174,5628847.702800001,4.180708,0
582,292466.7174,5628847.702800001,19.007267,0
583,292616.7174,5628847.702800001,7.190563,0
584,291866.7174,5628847.702800001,10.919474,0
585,295166.7174,5631797.702800001,7.856591,0
586,292216.7174,5628847.702800001,5.398225,0
587,292166.7174,5628847.702800001,3.215603,0
588,295216.7174,5631797.702800001,0.59179,0
589,291516.7174,5628847.702800001,18.129127,0
590,291466.7174,5628847.702800001,16.945548,0
591,291616.7174,5628847.702800001,48.507664,0
592,291566.7174,5628847.702800001,13.153003,0
593,294566.7174,5624947.702800001,3.431956,0
594,291066.7174,5628847.702800001,14.807469,0
595,291216.7174,5628847.702800001,7.939315,0
596,291166.7174,5628847.702800001,1.124188,0
597,292866.7174,5636597.702800001,2.778654,0
598,291316.7174,5628847.702800001,18.226698,0
599,291416.7174,5628847.702800001,12.425462,0
600,291366.7174,5628847.702800001,2.038387,0
601,290916.7174,5628847.702800001,9.20986,0
602,290866.7174,5628847.702800001,4.087379,0
603,291016.7174,5628847.702800001,14.075686,0
604,290966.7174,5628847.702800001,3.998292,0
