stop_id,x,y
283,297543.97604557587,5628465.036015192
284,297781.0232495479,5629919.050759141
285,297025.0293089555,5628041.980889948
286,296772.8271900407,5628212.362871571
287,297122.0108452956,5627945.012992083
288,297442.90180847445,5627728.223060857
289,297475.09337672254,5627673.529170805
290,297358.6682949547,5627659.34953352
291,297358.44502468826,5627709.906322172
292,297723.9740535306,5627571.007368168
293,297776.9668689398,5628121.414669647
294,297677.7807340832,5628009.026622988
295,298164.9939215402,5627935.021539025
296,298171.9665706237,5627888.991424343
297,297943.20897693845,5627776.38514499
298,297974.97352140956,5627767.026015901
299,297011.9728951458,5627965.998867732
300,296816.96670606616,5627768.954819709
301,296827.9722193758,5627785.004122496
302,296945.9825738531,5627423.003586813
303,296945.97861861833,5627402.962549675
304,296671.9984122508,5627567.96077397
305,296665.9739773015,5627561.960735935
306,295579.8062506749,5628207.25313484
307,295595.17640299,5628181.486918998
308,296042.02878673,5628282.000118976
309,296068.1532698526,5628235.105014384
310,296104.1789919232,5628266.206928199
311,296167.98756207176,5627892.05373012
312,296139.5758116442,5627866.109135081
313,297726.01896411745,5627560.016793524
314,297916.7416666158,5627366.905737133
315,297917.9937177267,5627340.915301452
316,297466.9953674724,5627366.992857266
317,297440.0341774274,5627390.976421684
318,299126.0261338286,5627381.954490253
319,299086.5118031111,5627406.524212595
320,298731.9963692067,5626748.948131392
321,298793.0304647246,5626678.008460827
322,298380.9945473615,5626756.053123461
323,298201.20859511074,5627148.795738704
324,298290.00473423314,5627061.966777638
325,298210.9942659349,5627075.045081812
326,298250.00374776626,5626635.976708051
327,299214.1502166132,5626874.092158551
328,299217.40435456514,5626899.908281682
329,298819.0154920146,5625541.033380929
330,298501.9659401267,5626469.023930418
331,298472.0243028497,5626449.027006066
332,298222.0313576296,5626164.98624008
333,298190.0181226396,5626128.036218176
334,298218.01592605916,5623749.003308878
335,298211.031432539,5623752.947518954
336,296463.99046411045,5623906.9733293615
337,296455.9864160144,5623901.050504259
338,297598.99703042075,5626317.951723869
339,297621.9859173205,5626387.982201353
340,297653.0342172273,5624397.046461409
341,297669.02896589297,5624374.047160081
342,297729.9717806678,5626619.050537524
343,297724.0106355072,5626621.953940648
344,297749.9874224749,5627063.962920208
345,297689.9734445275,5627127.973418912
346,298104.0181654,5625742.016233124
347,298082.0034230905,5625780.946156202
348,297235.99797936226,5625078.042168515
349,297156.01326538646,5625174.008787512
350,297276.03109266004,5625589.9817486415
351,297267.02874626126,5625590.999717564
352,297202.98938314756,5625678.997972865
353,297507.97007125296,5626070.973451053
354,297503.0144320124,5626077.957563208
355,298273.9769468073,5622842.002344784
356,298387.01687938627,5623976.947316845
357,298386.99174586195,5623979.954392265
358,297091.98291682865,5625157.014852773
359,297906.98097202566,5625887.039449639
360,297893.0123579849,5625882.013884195
361,298066.0221258864,5625754.9551614355
362,296358.03234814876,5627047.0075755315
363,296344.8327043713,5627032.714919704
364,296268.99037571205,5626956.960468726
365,296276.03053420107,5626969.044165542
366,295863.9750054027,5627078.022076844
367,295871.96755257045,5627099.977368951
368,295529.00247370295,5627327.974464657
369,295551.99985026184,5627321.950668392
370,296261.9674508734,5627453.035733885
371,296252.03150442365,5627458.991167531
372,296027.6880241153,5626845.479874458
373,295939.7434905027,5626816.187175917
374,295961.00544309965,5625447.975891911
